iter	Passed	Remaining
1247	30712	18506
1248	30737	18482
1249	30757	18454
1250	30778	18427
1251	30799	18401
1252	30819	18373
1253	30842	18347
1254	30865	18322
1255	30889	18297
1256	30908	18269
1257	30929	18242
1258	30951	18216
1259	30973	18190
1260	30993	18163
1261	31016	18137
1262	31037	18111
1263	31056	18083
1264	31076	18056
1265	31097	18029
1266	31116	18001
1267	31135	17974
1268	31154	17946
1269	31174	17919
1270	31193	17891
1271	31212	17863
1272	31231	17835
1273	31250	17808
1274	31270	17781
1275	31289	17753
1276	31308	17726
1277	31330	17700
1278	31349	17672
1279	31368	17644
1280	31387	17617
1281	31409	17591
1282	31431	17565
1283	31457	17541
1284	31479	17515
1285	31500	17489
1286	31522	17463
1287	31543	17437
1288	31563	17409
1289	31582	17382
1290	31603	17356
1291	31623	17329
1292	31647	17304
1293	31672	17280
1294	31696	17255
1295	31718	17229
1296	31740	17203
1297	31761	17177
1298	31783	17151
1299	31806	17126
1300	31828	17100
1301	31854	17077
1302	31880	17053
1303	31905	17029
1304	31924	17002
1305	31944	16975
1306	31966	16949
1307	31990	16924
1308	32008	16896
1309	32032	16871
1310	32054	16846
1311	32076	16820
1312	32096	16793
1313	32116	16766
1314	32138	16741
1315	32157	16714
1316	32179	16688
1317	32200	16662
1318	32219	16634
1319	32238	16607
1320	32262	16582
1321	32283	16557
1322	32305	16531
1323	32327	16505
1324	32350	16480
1325	32371	16454
1326	32391	16427
1327	32412	16401
1328	32433	16375
1329	32458	16351
1330	32480	16325
1331	32501	16299
1332	32522	16273
1333	32542	16246
1334	32564	16221
1335	32585	16195
1336	32611	16171
1337	32631	16144
1338	32651	16118
1339	32674	16093
1340	32697	16068
1341	32717	16041
1342	32737	16015
1343	32759	15989
1344	32779	15963
1345	32800	15937
1346	32821	15911
1347	32841	15884
1348	32861	15858
1349	32888	15835
1350	32907	15808
1351	32932	15784
1352	32956	15759
1353	32981	15735
1354	33008	15712
1355	33033	15688
1356	33059	15664
1357	33083	15640
1358	33110	15617
1359	33136	15593
1360	33159	15568
1361	33181	15543
1362	33203	15517
1363	33225	15492
1364	33245	15465
1365	33267	15440
1366	33289	15414
1367	33311	15389
1368	33335	15364
1369	33354	15338
1370	33376	15312
1371	33403	15289
1372	33425	15264
1373	33451	15240
1374	33472	15214
1375	33492	15188
1376	33511	15161
1377	33533	15136
1378	33555	15110
1379	33576	15085
1380	33598	15059
1381	33620	15034
1382	33640	15008
1383	33665	14984
1384	33686	14958
1385	33712	14934
1386	33733	14909
1387	33755	14883
1388	33776	14857
1389	33798	14832
1390	33821	14807
1391	33846	14783
1392	33868	14758
1393	33889	14732
1394	33911	14707
1395	33932	14681
1396	33957	14657
1397	33981	14633
1398	34005	14608
1399	34030	14584
1400	34049	14557
1401	34070	14532
1402	34094	14507
1403	34114	14481
1404	34135	14455
1405	34155	14429
1406	34177	14404
1407	34199	14379
1408	34223	14354
1409	34247	14330
1410	34271	14306
1411	34293	14280
1412	34314	14255
1413	34336	14230
1414	34358	14204
1415	34383	14180
1416	34404	14155
1417	34427	14130
1418	34449	14105
1419	34471	14080
1420	34493	14054
1421	34517	14030
1422	34539	14005
1423	34559	13979
1424	34582	13954
1425	34604	13929
1426	34626	13903
1427	34649	13879
1428	34674	13855
1429	34697	13830
1430	34723	13807
1431	34746	13782
1432	34771	13757
1433	34795	13733
1434	34819	13709
1435	34844	13685
1436	34865	13659
1437	34891	13636
1438	34915	13612
1439	34942	13588
1440	34965	13563
1441	34986	13538
1442	35008	13513
1443	35033	13489
1444	35057	13465
1445	35080	13440
1446	35104	13415
1447	35127	13391
1448	35151	13366
1449	35174	13342
1450	35198	13317
1451	35222	13293
1452	35245	13268
1453	35268	13243
1454	35289	13218
1455	35313	13194
1456	35336	13169
1457	35361	13145
1458	35383	13120
1459	35402	13094
1460	35424	13068
1461	35443	13042
1462	35463	13016
1463	35484	12991
1464	35508	12967
1465	35531	12942
1466	35551	12916
1467	35569	12890
1468	35593	12866
1469	35614	12840
1470	35634	12814
1471	35652	12788
1472	35674	12763
1473	35693	12737
1474	35712	12711
1475	35731	12685
1476	35751	12659
1477	35777	12635
1478	35797	12610
1479	35817	12584
1480	35836	12558
1481	35861	12534
1482	35881	12508
1483	35902	12483
1484	35923	12458
1485	35943	12432
1486	35965	12407
1487	35987	12382
1488	36011	12358
1489	36036	12334
1490	36062	12311
1491	36085	12286
1492	36106	12261
1493	36128	12236
1494	36149	12211
1495	36169	12185
1496	36188	12159
1497	36207	12133
1498	36226	12107
1499	36245	12081
1500	36265	12056
1501	36287	12031
1502	36309	12006
1503	36328	11980
1504	36348	11955
1505	36372	11930
1506	36392	11905
1507	36412	11879
1508	36433	11854
1509	36453	11829
1510	36472	11803
1511	36491	11777
1512	36510	11751
1513	36529	11726
1514	36549	11700
1515	36568	11674
1516	36587	11649
1517	36607	11623
1518	36626	11597
1519	36647	11572
1520	36666	11547
1521	36686	11521
1522	36705	11496
1523	36725	11470
1524	36745	11445
1525	36765	11419
1526	36785	11394
1527	36807	11369
1528	36828	11344
1529	36851	11320
1530	36871	11295
1531	36892	11269
1532	36912	11244
1533	36933	11219
1534	36953	11194
1535	36975	11169
1536	36995	11144
1537	37015	11118
1538	37035	11093
1539	37055	11068
1540	37075	11043
1541	37096	11018
1542	37117	10993
1543	37138	10968
1544	37158	10943
1545	37178	10917
1546	37199	10892
1547	37219	10867
1548	37240	10842
1549	37261	10817
1550	37281	10792
1551	37302	10767
1552	37322	10742
1553	37349	10719
1554	37368	10693
1555	37389	10668
1556	37409	10643
1557	37431	10619
1558	37451	10594
1559	37474	10569
1560	37494	10544
1561	37515	10519
1562	37535	10494
1563	37555	10469
1564	37575	10444
1565	37595	10419
1566	37615	10394
1567	37635	10368
1568	37655	10343
1569	37675	10318
1570	37698	10294
1571	37716	10268
1572	37736	10243
1573	37755	10218
1574	37774	10193
1575	37794	10168
1576	37813	10142
1577	37833	10117
1578	37854	10092
1579	37872	10067
1580	37893	10042
1581	37914	10017
1582	37934	9992
1583	37953	9967
1584	37973	9942
1585	37992	9917
1586	38015	9893
1587	38037	9868
1588	38056	9843
1589	38074	9818
1590	38094	9793
1591	38113	9767
1592	38132	9742
1593	38151	9717
1594	38172	9692
1595	38193	9668
1596	38220	9644
1597	38239	9619
1598	38259	9594
1599	38279	9569
1600	38298	9544
1601	38317	9519
1602	38340	9495
1603	38360	9470
1604	38380	9445
1605	38401	9420
1606	38422	9396
1607	38446	9372
1608	38468	9348
1609	38487	9322
1610	38510	9298
1611	38528	9273
1612	38548	9248
1613	38568	9223
1614	38587	9198
1615	38606	9173
1616	38626	9149
1617	38648	9124
1618	38669	9100
1619	38688	9075
